id,Title,Content,Date,Categorieën,Tags
99,"Het Interview #01 | Nena Tijsma & Niek Groven","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Interview-01-Podcast.mp3"">interviewt</a> Henk Niek en Nena van nnfilm over hun nieuwste shortfilm Fucking Sokken naar een verhaal van Dennis Gaens, een Nijmeegse schrijver.",20160601,Interview,podcast
102,"Review #11 | X-Men: Apocalypse","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-11-Podcast.mp3"">bespreken</a> Pim, Henk &amp; Sander de nieuwste film uit de X-Men franchise; X-Men: Apocalypse!",20160604,Reviews,podcast
106,"De Praattafel #04 | Studio Ghibli, Female 007, GoT & meer!","In deze <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/De-Praattafel-04-Podcast.mp3"">aflevering </a>van De Praattafel hebben  Pim, Henk &amp; Sander het onder anderen over Studio Ghibli, de mogelijkheid van een vrouwelijke 007, Hardcore Henry en nog veel meer. Ook gaan we uitgebreid in op de afgelopen aflevering van Game of Thrones (Seizoen 6 | Aflevering 6). SPOILERS AHEAD!",20160608,"De Praattafel",podcast
109,"Review #12 | Mr Right","Vandaag gaan we het <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-12-Podcast.mp3"">hebben</a> over de actie 'comedy' met Sam Rockwell in de hoofdrol; Mr Right!",20160615,Reviews,podcast
112,"Review #13 | Warcraft (met Alex van Gameliner)","In deze <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-13-Podcast.mp3"">aflevering</a> bespreken Sander, Pim en Henk Warcraft samen met onze speciale gast Alex van Gameliner.nl!",20160618,Reviews,podcast
120,"Favorieten #01 | Actiescènes","In de Favorieten bespreken we memorabele filmmomenten en acteerprestaties. In deze <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Favorieten-01-Podcast.mp3"">aflevering</a> lichten we een aantal ijzersterke actiescènes uit.",20160625,Favorieten,podcast
123,"Review #14 | The Big Short","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/The-Big-Short-Podcast.mp3"">bespreken</a> we vanuit Stadsbioscoop Rembrandt in Arnhem The Big Short. Een ensemblefilm over de crisis met Steve Carell, Ryan Gosling, Christian Bale en Brad Pitt!",20160629,Reviews,podcast
127,"Voorbeschouwing #03 | Pete's Dragon, Denial, The Infiltrator & Spaceman!","In deze voorbeschouwing <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Voorbeschouwing-03.mp3"">bespreken</a> Sander, Pim en Henk weer een aantal actuele trailers! Namelijk die van Pete's Dragon, Denial, The Infiltrator &amp; Spaceman!",20160702,Voorbeschouwing,podcast
132,"Review #15 | Independence Day: Resurgence","Pim en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-15-Independence-Day-Resurgence.mp3"">bespreken</a> het tweede deel van Independence Day",20160709,Reviews,podcast
135,"Terugblik | Game of Thrones Seizoen 6","Henk, Sander en Pim <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Terugblik-Game-of-Thrones-Seizoen-6.mp3"">blikken terug</a> op het zesde seizoen van Game of Thrones! Spoiler Alert voor de complete serie!",20160713,Terugblik,podcast
140,"Review #16 | Finding Dory","In deze <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-16-Finding-Dory.mp3"">review</a> van FIlmerds gaan Pim, Sander &amp; Henk het hebben over Finding Dory, het vervolg op de klassieker Finding Nemo uit 2003.",20160716,Reviews,podcast
143,"De Praattafel #05 | Bro's Before Ho's, Rush, No Escape & meer!","Henk, Sander en Pim<a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/De-Praattafel-05-Podcast.mp3""> hebben het in deze aflevering over</a> de aanbieding van films op Netflix, de manier waarop hacken wordt afgebeeld op tv en wat ze van The Hunger Games vinden.
SPOILER WARNING!",20160720,"De Praattafel",podcast
